Publication Date	Time	Author	Title	URL	Text
2023-11-02	22:58:04+00:00		911 Call Reveals Tense Moments After Botched Abortion Sends Bleeding Woman To Hospital	https://dailycaller.com/2023/11/02/911-bleeding-woman-cervix-abortion-ohio-referendum/	A staff member at an abortion clinic in Kettering, Ohio, called 911 on Oct. 25 after a botched abortion procedure left a woman bleeding profusely. “It was a difficult procedure,” the staff member says when the 911 operator asks what happened. The staff member then repeats the response when the operator asks, “What exactly happened?” (RELATED: Swing State Dems Launch Bid To Enshrine Abortion In State Constitution) “Ok do you have any more information so I can update our crew that’s responding?” the operator presses. “So it’s basically bleeding from a difficult procedure,” the clinic worker says, specifying that the patient, who ended up in the hospital, was bleeding from her cervix. “There was a complicated procedure. They said bleeding.” Just last week at an abortion clinic in Dayton, a women suffered from bleeding due to complications in an abortion. Issue 1 would eviscerate key health and safety standards putting countless more women at risk. pic.twitter.com/YXyiOjsZsU — Protect Women Ohio (@ProtectWomenOH) November 1, 2023 Ohioans are preparing to vote on a proposed constitutional amendment that would outlaw restrictions on abortion before “fetal viability,” and allow abortion up to birth if the pregnancy is deemed dangerous to the health of the mother. Opponents of the proposal have argued that the amendment would strike down parental consent laws surrounding abortion, placing young women at risk of undergoing dangerous procedures without their parents’ knowledge. In August, Ohio voters rejected an attempt to raise the threshold for amending the state constitution. The measure would have raised the threshold from 50 percent to 60 percent, making it harder for pro-abortion activists to rally the support necessary to enshrine abortion in the state’s constitution. “Issue 1 will also increase the number of ‘self abortions’ by women at home, without the presence of any medical personnel, which can only result in even more 911 calls from frantic women from their homes,” Dayton Right to Life said in a press release.
2023-11-02	22:36:02+00:00		Indiana attorney general reprimanded over abortion doctor remarks	https://www.investing.com/news/economy/indiana-attorney-general-reprimanded-over-abortion-doctor-remarks-3219884	
2023-11-02	22:21:06+00:00		Tuberville Staffer: Primary GOP Sens Who Oppose Military Hold	https://www.wgmd.com/tuberville-staffer-primary-gop-sens-who-oppose-military-hold/	
2023-11-02	22:21:04+00:00	News Traffic Weather	Indiana attorney general reprimanded for comments on doctor who provided rape victim’s abortion	https://wtop.com/national/2023/11/indiana-attorney-general-reprimanded-for-comments-on-doctor-who-provided-rape-victims-abortion/	
2023-11-02	21:23:38+00:00	Brittany Bernstein	Protect Women Ohio Launches Ad Featuring 911 Call from Abortion Clinic	https://www.nationalreview.com/news/protect-women-ohio-launches-ad-featuring-911-call-from-abortion-clinic/	
2023-11-02	20:01:44+00:00		Indiana AG reprimanded over comments about doctor who performed abortion on a 10-year-old rape victim	https://www.courthousenews.com/indiana-ag-reprimanded-over-comments-about-doctor-who-performed-abortion-on-a-10-year-old-rape-victim/	
2023-11-02	19:25:00+00:00		Tennessee & Idaho Are Using Cruel Attacks to Dismiss Lawsuits Against Their Abortion Bans	https://jezebel.com/tennessee-idaho-are-using-cruel-attacks-to-dismiss-la-1850986077	Attorneys general for Tennessee and Idaho both filed motions to dismiss abortion rights lawsuits brought by the Center for Reproductive Rights in their states this week. In both cases, their motions use cruel language and personal attacks against the plaintiffs—women who have been directly impacted by the states’ abortion bans and are seeking to clarify what circumstances fall under the narrow exception for medical emergencies that these bans claim to include. Tennessee’s motion, filed Wednesday, claims that plaintiff Nicole Blackmon—who says she suffered “physical and emotional torture” from being forced to carry a nonviable pregnancy for months—doesn’t have standing to sue because she’s since had her tubes tied. The state suggests this limits the chances that she’ll become pregnant and be personally impacted by the ban again and that it’s insufficient for her to “sue so ‘no one else’ will suffer.” Meanwhile, Idaho’s motion filed earlier this week claims the state ban is an attempt to prioritize “by all legal means, live childbirth over abortion,” regardless of fetal conditions that could be antithetical to life. Tennessee bans abortion beginning at conception with exceptions only for endangerment to the life of the pregnant person, to preserve their health, or if the fetus isn’t viable. Three women who were denied emergency abortion care and two doctors are suing to demand that the state clarify what is included under the umbrella of these narrow exceptions. Idaho also bans abortion beginning at conception with exceptions only for endangerment of the life of the pregnant person and rape and incest. Four women who were denied emergency abortion care, two doctors, and Idaho Academy of Family Physicians are suing the state, also demanding clarification for when emergency abortions are permitted under these exceptions. What we’re seeing from Tennessee and Idaho closely reflects the cruelty and callousness of other anti-abortion state attorneys general who have worked to throw out lawsuits challenging their bans—often enough, by leveling personal attacks at the plaintiffs. In July, lawyers for Texas fought another suit by the Center for Reproductive Rights, also to clarify an exception for threats to the pregnant person’s life, by making arguments similar to Tennessee’s. The state claimed that because some of the plaintiffs’ fertility had been jeopardized by pregnancy complications and being denied timely emergency abortion care, these women didn’t have standing to sue because it was less likely they’d become pregnant and need to seek abortion care again. One of the plaintiffs called this framing “infuriating” and “ironic,” adding, “Do they not realize the reason why I might not be able to get pregnant again is because of what happened to me as a result of the laws that they support?” Blackmon, who became pregnant in July 2022 shortly after Tennessee’s abortion ban took effect, initially saw her pregnancy as a “blessing” until, 15 weeks in, she learned her fetus suffered from omphalocele. This condition impedes the development of the fetus’ abdominal wall, resulting in organs growing outside the body. Blackmon’s doctors told her this was a lethal anomaly and continuing the pregnancy endangered her health. But despite Tennessee’s narrow exception for such emergencies, she was still denied abortion care. Now, in the wake of her tubal ligation procedure, Blackmon’s experience has been invalidated by Tennessee’s motion this week, which she accuses of “trying to pretend” that what she experienced “never happened.” Her statement continues, “No one should ever have to go through what I went through. Tennessee lawmakers put my life in danger with this abortion ban. My fellow plaintiffs and I are asking for the bare minimum—the right to basic health care during the many risky complications that arise during pregnancy.” The motion also references one of Blackmon’s co-plaintiffs, Allyson Phillips, who learned 18 weeks into her pregnancy that her unborn daughter was incompatible with life. The state points to Phillips’ similar motivations for joining the lawsuit to “prevent any other person” from sharing her experience, calling this insufficient grounds for a lawsuit. The state then invokes how Phillips is “now running for state office to change the abortion laws,” unsubtly suggesting her involvement in the suit is for political gain. On Tuesday, Idaho filed its own motion to dismiss a similar lawsuit. In addition to claiming that Idaho’s ban is designed to “prefer...live childbirth” even “in cases in which a physician believes that the child will die shortly after birth,” it states that, “The statutes simply do not allow for an abortion in situations in which an unborn child is ‘unlikely’ to survive after birth.” This language is deeply callous in the face of people who have been forced to carry nonviable pregnancies to term and suffer the heartbreak of birthing a newborn that dies hours or days later. “Idaho lawmakers put these women through the unthinkable and now the state wants them thrown out of court,” Gail Deady, senior staff attorney at the Center for Reproductive Rights, said in a statement this week. In April, Jennifer Adkins, the lead plaintiff in the Idaho suit, learned her fetus had Turner syndrome and other severe anomalies incompatible with life. She was still forced to travel to Oregon for emergency abortion care, and, fearing criminal penalties, her medical team couldn’t even help refer her to a provider. In a statement responding to Idaho’s motion this week, Adkins accused Idaho’s laws of “[putting] my life at risk and [compounding] my heartbreak,” as she grieved giving up a wanted pregnancy. “The humane response would be for Idaho officials to acknowledge the harm these laws are causing and to expand the exceptions in their abortion ban,” she said in a statement. “Instead, the attorney general is literally trying to dismiss me and the other women in this case. It’s degrading and insulting.”
2023-11-02	19:03:04+00:00		Indiana attorney general reprimanded over abortion doctor remarks	https://www.marketscreener.com/business-leaders/David-Thomas-9676/news/Indiana-attorney-general-reprimanded-over-abortion-doctor-remarks--45228397/?utm_medium=RSS&utm_content=20231102	
2023-11-02	19:00:14+00:00	John Bowden	What abortion ban votes in Virginia and Ohio could mean for 2024 election	https://www.the-independent.com/news/world/americas/us-politics/ohio-virginia-elections-2023-abortion-b2440657.html	Abortion is once again on the ballot. Has the equation changed at all? Though not on the ballot, Glenn Youngkin hopes to rally Virginia Republicans to victory in state elections as he hopes to pass a 15-week abortion ban Voters are headed to the polls in two states where the “Dobbs Effect” will face its latest test. A year after the Supreme Court’s conservative majority ended federal protections for abortion in Dobbs vs Jackson Women’s Health Organization, the issue of abortion is back on the ballot in two battleground states that will each play a major role in next year’s presidential election. In Ohio, voters will consider an amendment to the state constitution enshrining “a fundamental right to reproductive freedom” as a right of all Ohioans, allowing for some limits on the practice of abortion but generally protecting it from an all-out ban or severe restrictions. And in Virginia, the state’s Republican governor is rallying his party around a 15-week abortion ban, and encouraging a perception of the state House of Delegates and Senate as either a green light or a roadblock ahead of the implementation of that legislation. Republicans took the governor’s mansion and House of Delegates in 2021, leaving Democrats in control of just one corner of government. All eyes are on these two states in the political world for obvious reasons: the pair of states are two major battlegrounds for presidential elections, though Ohio has trended increasingly red in recent cycles. The elections also represent the first real test of the American electorate in terms of abortion views since last year’s midterm congressional elections, when Republicans saw their “red wave” evaporate into a defeat in the Senate and a razor-thin unruly House majority. While some in the beltway media sphere proclaimed that backlash from the Supreme Court’s spring decision tossing Roe v Wade’s precedent — the “Dobbs Effect” – would subside before the 2022 midterms, the clear reality was that voters who support abortion rights delivered major victories for both Democrats and the pro-choice movement specifically last year. The victories occurred in purple and red states as well as blue Democratic strongholds, signalling that the momentum was headed in the opposite direction of the hardline pro-life movement. This year, Republicans are hoping that the trend will reverse itself. In Ohio, where municipal races are the only ones on the ballot this year, the result will be a clear referendum on the issue, and Question 1 will be the largest factor drawing voters to the polls. Virginia’s Glenn Youngkin, who enjoys reasonably positive approval ratings, is not on the ballot either; and legislative priorities may take greater importance over the personalities of lesser-known candidates for state offices at the polls in the Old Dominion state. The question of what the “Dobbs Effect” will look like in Virginia is a particularly interesting one. Mr Youngkin, cognisant of the fact that Democrats and abortion rights maintain serious support bases in the state, has poured hundreds of thousands of dollars via his Spirit of Virginia PAC into sculpting the conversation around his proposed ban — which he insists should not be referred to as such. Ads are demanding that reporters refer to the proposal as a “reasonable limit” on abortion, noting exceptions for rape, incest and medical emergencies. It’s essentially an admission from Mr Youngkin and the state GOP that a “ban” is politically unpopular and would be rejected by voters in a purple state. At the same time, he has won praise from major anti-abortion groups, which suggests that they see his strategy as the path forward for their movement in such areas. A spokesman for Mr Youngkin’s PAC told The Washington Post last week that the reason Republicans were shellacked so handily in areas where abortion was on the ballot in 2022 came down to a lack of aggression from the GOP in response to criticism on the issue. “There was no Republican response, none, and the results were tough in the ’22 midterms,” Zack Roday told the Post. “Republicans didn’t talk about where they were. They didn’t swat back the misstatements, the sometimes outright lies.” That theory will be put to the test on Tuesday. If Mr Youngkin and the Virginia GOP eke out a victory, it could mean a major watershed moment for the anti-abortion movement — a meaningful election result it can point to when challenged on the popularity of its agenda. Should they lose ground in the state’s legislative branch, it will instead reinforce a different idea, one driven home in 2022: That the left controls the momentum on this issue; the latest front to turn against conservatives in the culture war. Join thought-provoking conversations, follow other Independent readers and see their replies Though not on the ballot, Glenn Youngkin hopes to rally Virginia Republicans to victory in state elections as he hopes to pass a 15-week abortion ban Copyright 2023 The Associated Press. All rights reserved Want to bookmark your favourite articles and stories to read or reference later? Start your Independent Premium subscription today.
2023-11-02	18:50:28+00:00	JULIE CARR SMYTH Associated Press	An Ohio amendment serves as a testing ground for statewide abortion fights expected in 2024	https://sentinelcolorado.com/uncategorized/an-ohio-amendment-serves-as-a-testing-ground-for-statewide-abortion-fights-expected-in-2024/	COLUMBUS, Ohio | Abortion access is expected to play a central role in the 2024 elections. The preview comes next week, when Ohio voters decide whether to enshrine reproductive rights in their state Constitution. The amendment is the only abortion question on any state’s ballot this year, a spotlight that has generated intense attention from national groups and made Ohio a testing ground for fresh campaign messaging — some of it misleading. The amendment has drawn more than $60 million in combined spending so far. Mini Timmaraju, president and CEO of Reproductive Freedom for All, said Ohio offers a vital proving ground heading into next year’s presidential election, when Democrats hope the abortion issue can energize supporters in contests up and down the ballot. Initiatives seeking to protect access could be on the ballot across the country, including in the presidential swing states of Arizona, Nevada and Pennsylvania. “When we’re able to see how our messaging impacts independents and Republicans and persuades them that this fundamental freedom is important to protect in Ohio, that’s going to be something that we can implement looking at 2024,” she said. The Sentinel is unique in offering the community “Shares” of the news company, as a community asset not unlike the Green Bay Packers, also owned by the community it benefits. For as little as $10, you can “share” the need to sustain and strengthen the Sentinel’s ability to provide you and everyone in the Sentinel community with the news, sports, investigations and cultural features we all need and want — without paywalls. The battleground on abortion shifted to the states last summer, when the U.S. Supreme Court overturned its Roe v. Wade decision, erasing federal abortion protections that had been in place for half a century. Since then, voters in six states — California, Kansas, Kentucky, Michigan, Montana and Vermont — have either supported measures protecting abortion rights or rejected efforts aimed at eroding access. Kelsey Pritchard, state public affairs director for the anti-abortion group SBA Pro-Life America, said the outcomes in 2022 offered lessons that the anti-abortion movement has implemented in Ohio through more coalition-building and stronger messaging. Abortion opponents, she said, “will apply those weapons and learning in other states going forward.” Republican Secretary of State Frank LaRose advanced ballot language for the Ohio amendment that its supporters said was misleading, while GOP Attorney General Dave Yost took the unconventional step of producing his own “legal analysis” of the amendment. Its supporters said those actions by top state officials could cost them votes. But like the anti-abortion movement itself, Ohio’s Republicans have not been in lockstep on the issue. The GOP-led Ohio Senate has used its website to spread misleading claims about the amendment even as Gov. Mike DeWine has made the rounds of TV stations pledging that his party will pass a reasonable alternative if voters defeat the measure. For the first time in his 46-year political career, DeWine now says he would support exceptions for rape and incest in any future abortion legislation if the measure fails. The governor has allied with the Ohio Catholic Conference, which is running a campaign through its churches to defeat the amendment, which is on the ballot as Issue 1. Protect Women Ohio, the campaign against it, also has generated support from some Black faith leaders. Supporters have answered with an ad featuring the senior minister of First Congregational Church in Columbus, who called abortion a private matter and said “government needs to stay out of family decision-making.” The Ohio amendment would guarantee an individual’s right “to make and carry out one’s own reproductive decisions.” It expressly permits the state to regulate abortions after fetal viability, as determined by an attending physician, as long as any laws regulating the procedure after that point provide exceptions for the life and health of the woman. Its supporters include Democrats in the state, the ACLU, Planned Parenthood and a bipartisan coalition of labor, faith and community groups. They portray the measure — one of the most broadly worded so far — as a way to enshrine Roe-era abortion rights in a one-time bellwether state that has turned increasingly Republican and has passed some of the nation’s toughest restrictions on the procedure. That includes a law currently held up by legal challenges that bans most abortions after fetal cardiac activity is detected, before many women know they’re pregnant. That law makes no exceptions for rape or incest. “This is the most conservative state to date where we’re pushing for proactive state constitutional amendments,” said Carolyn Ehrlich, senior campaign strategist at the ACLU. Opponents, including state Republicans, the Center for Christian Virtue and Ohio Right to Life, say the amendment provides too much access to abortion and does so too late into pregnancy. They question whether state lawmakers could pass any abortion restrictions at all that would pass constitutional muster if voters approve the amendment. “This is more than just a pro-choice or pro-life statement,” said Megan Wold, a former deputy Ohio solicitor general working with Protect Women Ohio. “It is an up or down vote, but it’s an up or down vote on very particular language that’s going to have a real impact on the way that Ohio can regulate abortion in the future.” Protect Women Ohio’s interest in persuading independent and politically moderate voters is about the math, since public support for some form of abortion rights has remained well over the 50% mark in the U.S. for years. AP VoteCast polling last year found that 59% of Ohio voters say abortion should generally be legal. Peter Range, executive director for Ohio Right to Life, said strong turnout and enthusiasm at the March for Life held at the Ohio Statehouse last month gave him “great hope” for victory on Tuesday. He said Issue 1 goes too far in limiting the state “and I think once most Ohioans realize that, they’re going to reject it.” The Issue 1 campaign, Ohioans United for Reproductive Rights, is working to appeal to voters across party lines with a message focused on bodily autonomy and freedom from government intervention. Kimberly Inez McGuire, executive director of URGE and a member of the coalition supporting the amendment, said messaging similar to Ohio’s was effective across party lines in deeply Republican Kansas, which surprised the nation when it became the first state to protect the right to an abortion after the Supreme Court overturned Roe. “I think there’s a very progressive value in being able to maintain our liberty, maintain our freedom, have the government not tell us what to do with our bodies,” she said. McGuire said supporters of abortion rights also were energized by an August special election in which the GOP-led state Legislature advanced a proposal that would have set a 60% supermajority requirement for passing future constitutional amendments. The measure failed badly, and she said it soured many voters on trusting their elected representatives. Turnout in the election that concludes Tuesday is expected to be robust, building on the enthusiasm from the summer, organizers say. Local election officials anticipate 40% to 50% of registered voters will participate, according to the Ohio Association of Election Officials. That’s higher than a typical off-year November election and up from the 39% turnout in August. “Ohio voters really know what’s at stake here, because they’ve seen the incredible lengths that the Ohio government will go to to interfere in people’s lives,” McGuire said. “The August election laid bare the strategy of the anti-abortion movement — which is that they understand that the people oppose abortion bans, and so it is now their strategy to put a stranglehold on democracy to try to thwart democratic efforts to support abortion access.” Fernando reported from Chicago. The Associated Press receives support from several private foundations to enhance its explanatory coverage of elections and democracy. See more about AP’s democracy initiative here. The AP is solely responsible for all content. The Aurora Sentinel Community Shareholder model is an innovative effort to preserve and expand critical, fact-based journalism in Aurora. You can invest in local news with Aurora Sentinel Community Shares for as little as $10, and your contribution could be tax deductible. An Aurora Sentinel Community Shareholder believes in the value of local journalism and is willing to contribute to the Sentinel nonprofit corporation to ensure this vital news and features remain accessible to everyone, with no paywall.
