,section,time,title,url
82,US news,2022-06-29T09:00:35Z,Texas sheriff says he ‘will not persecute’ those seeking an abortion,https://www.theguardian.com/us-news/2022/jun/29/texas-sheriff-abortion-javier-salazar
568,Life and style,2022-08-24T05:00:26Z,"‘I could not get out of Britain fast enough’: Amanda de Cadenet on tabloid bullies, teenage fame and making it in the US",https://www.theguardian.com/lifeandstyle/2022/aug/24/i-could-not-get-out-of-britain-fast-enough-amanda-de-cadenet-on-tabloid-bullies-teenage-fame-and-making-it-in-the-us
347,Opinion,2022-08-13T13:00:41Z,The Mar-a-Lago search prompts a big question: who snitched? | Arwa Mahdawi,https://www.theguardian.com/commentisfree/2022/aug/13/mar-a-lago-search-ivanka-trump-week-in-patriarchy
544,Australia news,2022-07-22T01:30:47Z,"Almost half of young women in Australia report mental health disorder, study finds",https://www.theguardian.com/australia-news/2022/jul/22/almost-half-of-young-females-in-australia-report-mental-health-disorder-study-finds
34,US news,2022-09-09T13:11:57Z,Republicans help Democratic minority block near-total abortion ban in South Carolina,https://www.theguardian.com/us-news/2022/sep/09/south-carolina-republicans-democrats-abortion
67,Books,2022-07-14T13:48:26Z,Mark Haddon pledges all future US royalties to abortion rights groups,https://www.theguardian.com/books/2022/jul/14/mark-haddon-pledges-all-future-us-royalties-to-abortion-rights-groups
124,Opinion,2022-07-09T13:00:06Z,Restoring US abortion access won’t be easy – but we need leaders who will try | Arwa Mahdawi,https://www.theguardian.com/commentisfree/2022/jul/09/restoring-us-abortion-access-wont-be-easy-but-we-need-leaders-who-will-try
39,World news,2022-09-16T10:09:07Z,‘Protesters just scream abuse’: the campaigners battling to make UK abortion clinics safer,https://www.theguardian.com/world/2022/sep/16/protesters-abuse-campaigners-battling-uk-abortion-clinics-back-off-scotland
438,US news,2022-08-02T16:17:46Z,Killing of Zawahiri gives beleaguered Joe Biden rare political win,https://www.theguardian.com/us-news/2022/aug/02/biden-ayman-al-zawahiri-al-qaida
414,Opinion,2022-08-31T10:00:25Z,Maybe US mainstream media should begin using the term ‘fascism’ | Robert Reich,https://www.theguardian.com/commentisfree/2022/aug/31/ron-desantis-republican-party-fascism
