eng_train,eng_test,nld_train,nld_test
abortion,bannon,abortusrecht,goedemorgen
abortion,abortion,abortusregels,valéry
tory,latino,abortuswetten,abortuswetgeving
abortion,colbert,zwangerschap,ministers
delusions,wimbledon,noordwesten,texas
abortion,pence,vrouwenteam,abortuskliniek
fraud,abortion,president,abortusrechten
abortion,abortion,statenmarieke,anticonceptie
abortion,justices,kabinet,katholieke
witness,abortion,luchtmachtbasis,christenunie
mccain,abortion,korea,rapper
giuliani,dutton,zwangerschap,abortuswetgevingen
abortion,guns,kinderprogramma,christelijke
abortion,abortion,katholieke,vrouwenrechten
oppression,victims,brasilia,katholieken
billing,democrats,goedemorgen,racisme
martin,meredith,campagnenieuws,zwangerschappen
younger,voters,democraten,vliegvelden
abortion,uber,abortusactivist,verkiezingsprogramma
protesters,emissions,immigratiepartij,parlementsverkiezingen
justices,deaths,abortushulp,abortolegalya
thompson,australians,ginsburg,kabinetsperiodes
amendments,targaryen,verkiezingscampagne,abortusrecht
democratsabortion,precedent,prenatal,abortussen
advocacy,cheney,verkiezingscampagne,abortuswet
defamation,austin,rechts,abortusklinieken
abortion,kansas,juhulspresidentsverkiezing,fotojournalistiek
birthrate,justices,mars,protestmars
lgbtq,handgun,hillary,brexit
internment,donors,veroordeeld,presidentsverkiezingen
democrats,womanhoodamanda,vakantie,d66
inflation,biden,abortuswetgevingen,abortusplan
abortion,abortion,abortuswetgeving,youtube
fertility,wainwright,abortuswetgevingen,chinese
defamation,nadler,abortusdiscussie,democraten
kaliyah,biden,china,abortuswetgeving
nance,swedishness,demonstranten,abortussen
tory,abortion,overleden,florida
italians,leo,homohuwelijk,jackson
abortion,mourning,goedemorgen,abortusklinieken
outlaws,fbi,goedemorgen,buitenlandwashington
amini,affair,abortushulporganisaties,superheldenfilmpjes
abortion,immigration,cannabis,trump
abortion,partisan,georgia,abortusregels
abortion,hannity,moord,protesten
britney,abortion,abortion,afrikaelles
cannabis,abortion,veroordeeld,wolken
cruz,ministers,rechtsstaat,abortusverpleegkundige
cinema,guns,godfried,veroordeeld
nominee,saudi,australië,senatoren
firearms,rwanda,abortuswetgeving,goedemorgen
abortion,pains,vaccinatieplicht,abortus
abortion,magazine,congresverkiezingen,regen
abortion,pandemic,politieagenten,argentinië
secular,bolsonaro,d66,democraten
abortion,justices,terroristisch,abortuswetgeving
bipartisan,pence,parlementsverkiezingen,pig
abortion,phoebefuckingbridgers,abortusstrijd,abortus
abortion,abortion,anticonceptiemiddelen,verkiezingsweekend
2024,ballots,verkiezingscampagne,homoseksualiteit
abortion,hearings,abortuswet,verkiezingsuitslag
abortion,abortion,trump,trump
lgbtq,governor,katholieke,trump
impeachment,protesters,iraanse,parlementsverkiezingen
protesting,palin,abortusklinieken,verkracht
justices,abortion,abortusclubs,leeftijdsgrens
orban,elections,abortuskliniek,parlementsverkiezingen
biden,privacy,parlementsgebouw,york
fbi,discrimination,abortusbescherming,christendemocratische
cheney,nicholson,winterweer,congres
abortion,iranian,abortusrecht,d66
tory,credibility,koffiegigant,democraten
abortion,tory,johnson,abortuspillen
trackers,abortion,zwangerschap,vaccinatiebewijs
independents,abortion,trump,feminisme
taiwan,abortion,abortusklinieken,abortuswet
hearings,abortion,parlementsgebouw,braziliaanse
island,amended,verkiezingsdag,nederland
abortion,abortion,klimaatcrisis,senator
contraceptive,conservative,trump,verkiezingsdebat
justices,protesting,marriage,verkiezingen
elizabeth,courtroom,sterilisatieprogramma,china
abortionist,transgender,quarantainebeleid,zwangerschapsafbrekingen
pensions,walgreens,india,halloweenversiering
salman,epa,abortuswetgeving,islam
affidavit,abortion,abortusrechten,christelijk
abortion,abortion,abortuswetgeving,abortusrecht
rats,constitution,verkracht,coalitieakkoord
unions,cinemas,facebook,washingtonvictor
abortion,abortion,senator,abortuswetgeving
justices,gristle,republikeinen,boerenorganisaties
hearings,palin,democratie,catalanen
zealand,hiv,abortussen,abortusklinieken
monarchy,constitution,abortusregels,afrikaans
turnbull,glastonbury,abortus,immigratiestroom
bolsonaro,pelosi,gevangenissen,parlement
republican,security,trump,trump
art,rhaenys,verkiezingsthema,election2020
abortion,abortions,abortussen,abortusdemonstraties
abortion,festival,kindervideo,rechterlijke
levin,elizabeth,abortion,volksgezondheid
firearm,oliver,buitenlandfiorella,regeringsleiders
candidates,roe,abortussen,abortusrecht
maga,zones,goedemorgen,democraten
abortion,abortion,president,droog
abortion,giuliani,valéry,onlinevandaag
deadlines,billie,partijleider,hollandse
birthing,abortion,abortusbehandelingen,florida
jones,closing,vrouwenrechtenbeweging,trump
abortion,warren,katholieken,zwangerschapsafbrekingen
redactions,governor,euthanasiepraktijk,katholieke
victims,biden,humanistisch,partijleider
netflix,abortion,vrijdagavond,bestuurscultuur
putin,rights,abortuswet,medicijn
maga,pelosi,kardashian,abortusactivisten
grammar,pride,fractievoorzitter,abortuskuur
queensland,julia,goedemorgen,abortussen
patriotic,vasectomy,argentinië,anticonceptie
abortion,flooding,biomassacentrales,amsterdam
austin,abortion,goedemorgen,guatemala
homophobic,,abortusklinieken,
nhs,,amsterdam,
presidency,,partijleider,
biden,,democraten,
abortion,,abortusklinieken,
privacy,,abortusrecht,
justices,,abortusrechten,
abortion,,bevolkingsfonds,
justices,,hooggerechtshof,
independents,,moslims,
abortion,,regenen,
campaigns,,abortusdemonstranten,
abortion,,abortuswetten,
abortion,,moderator,
detained,,referendum,
abortion,,fransen,
lyrics,,obama,
protests,,abortuswetgeving,
scotlandabortion,,christelijke,
iphones,,abortuswetgeving,
abortion,,hulsbeekcorrespondent,
abortion,,geboortebeperking,
freedom,,verkiezingsprogramma,
cemetery,,abortusdemonstranten,
justices,,anticonceptiemethoden,
ev,,coronavirus,
fascist,,abortusjurisprudentie,
suspicions,,abortuszorg,
tory,,phoenixville,
starbucks,,trump,
sanctions,,buitenlandjet,
democrats,,katholieke,
abortion,,anticonceptiepil,
drama,,zwanger,
judd,,abortusmedicijn,
justices,,verkracht,
hutchinson,,homoseksualiteit,
renewable,,homobelangenorganisatie,
verona,,montparnasse,
privacy,,abortus,
abortion,,abortuswetgeving,
judge,,abortusorganisatie,
abortion,,juhulspresidentsverkiezingen,
democrats,,abortuswet,
covid,,abortuswetgeving,
flights,,holocaust,
filibuster,,amsterdam,
loans,,katholicisme,
cia,,hulsbeekcorrespondent,
ceo,,ambassadeur,
abortion,,bisschoppen,
abortion,,trump,
funeral,,referendum,
snp,,onlineannebelle,
coffey,,ebolacrisis,
inflation,,abortusactivist,
mcconnell,,referendum,
novel,,hillary,
impeachment,,abortusartsen,
biden,,nederland,
abortion,,verkracht,
abortion,,abortuswetten,
jurist,,ministerie,
climate,,abortussen,
melbourne,,goedemorgen,
utah,,boston,
