,time,title,url,content
86,2022-11-01T19:56:53+0100,In Mississippi is het abortusrecht weg en zijn moeders vooral op zichzelf aangewezen,https://nos.nl/artikel/2450691-in-mississippi-is-het-abortusrecht-weg-en-zijn-moeders-vooral-op-zichzelf-aangewezen,Midterm-verkiezingen
637,2016-10-20T07:33:46+0200,Eén zin uit debat blijft hangen als een donderwolk,https://nos.nl/artikel/2138678-een-zin-uit-debat-blijft-hangen-als-een-donderwolk,Buitenland
393,2019-05-26T04:41:11+0200,Ieren willen makkelijker scheiden,https://nos.nl/artikel/2286326-ieren-willen-makkelijker-scheiden,Buitenland
610,2017-01-23T21:39:21+0100,"Trump neemt eerste besluiten, perschef reageert op commotie",https://nos.nl/artikel/2154561-trump-neemt-eerste-besluiten-perschef-reageert-op-commotie,Buitenland
37,2023-07-18T10:06:45+0200,GroenLinks-Kamerlid Corinne Ellemeet stopt na verkiezingen,https://nos.nl/artikel/2483219-groenlinks-kamerlid-corinne-ellemeet-stopt-na-verkiezingen,Politiek
70,2023-01-13T10:05:23+0100,Met Mirjam Bikker kiest ChristenUnie voor ervaren fractievoorzitter,https://nos.nl/artikel/2459658-met-mirjam-bikker-kiest-christenunie-voor-ervaren-fractievoorzitter,Politiek
139,2022-06-25T06:33:29+0200,'Ook andere rechten in gevaar' na einde landelijk abortusrecht,https://nos.nl/artikel/2433992-ook-andere-rechten-in-gevaar-na-einde-landelijk-abortusrecht,Buitenland
42,2023-07-27T23:11:07+0200,Het ene na het andere Kamerlid vertrekt: wat moet er volgens hen veranderen?,https://nos.nl/nieuwsuur/artikel/2484513-het-ene-na-het-andere-kamerlid-vertrekt-wat-moet-er-volgens-hen-veranderen,Op weg naar TK2023
492,2018-03-08T22:57:01+0100,"Nieuwe abortuswet Mississippi overwinning voor de een, nachtmerrie voor de ander",https://nos.nl/artikel/2221306-nieuwe-abortuswet-mississippi-overwinning-voor-de-een-nachtmerrie-voor-de-ander,Buitenland
465,2018-07-06T21:20:24+0200,Kabinet wil plaatsen spiraaltje in abortuskliniek vergoeden,https://nos.nl/artikel/2240234-kabinet-wil-plaatsen-spiraaltje-in-abortuskliniek-vergoeden,Politiek
606,2017-01-28T06:01:05+0100,Trump Daily 28 januari: decreet na decreet na decreet na...,https://nos.nl/artikel/2155284-trump-daily-28-januari-decreet-na-decreet-na-decreet-na,Buitenland
398,2019-05-20T16:53:28+0200,Partijen in Kamer vallen over 'vrouwonvriendelijk' stuk Baudet,https://nos.nl/artikel/2285543-partijen-in-kamer-vallen-over-vrouwonvriendelijk-stuk-baudet,Politiek
411,2019-04-11T16:56:03+0200,Duitsland worstelt met NIP-test,https://nos.nl/artikel/2279993-duitsland-worstelt-met-nip-test,Buitenland
437,2018-11-07T12:38:49+0100,Meerderheid voor Democraten in Huis van Afgevaardigden definitief,https://nos.nl/liveblog/2258218-meerderheid-voor-democraten-in-huis-van-afgevaardigden-definitief,None
352,2019-11-10T08:37:16+0100,Anti-abortusfolder zorgt voor veel discussie,https://nos.nl/artikel/2309790-anti-abortusfolder-zorgt-voor-veel-discussie,Binnenland
586,2017-02-25T08:24:01+0100,Guatemala wil bemanning Nederlandse abortusboot uitzetten,https://nos.nl/artikel/2159940-guatemala-wil-bemanning-nederlandse-abortusboot-uitzetten,Buitenland
34,2023-11-09T07:06:45+0100,Omtzigt wil het liefst fractieleider in Tweede Kamer blijven • SP wil regeren,https://nos.nl/liveblog/2497169-omtzigt-wil-het-liefst-fractieleider-in-tweede-kamer-blijven-sp-wil-regeren,None
